"y","x1","x2"
first,5.55E+01,6.95E+01
first,4.10E+01,8.15E+01
first,5.35E+01,8.60E+01
first,4.60E+01,8.40E+01
first,4.10E+01,7.35E+01
first,5.15E+01,6.90E+01
first,5.10E+01,6.25E+01
first,4.20E+01,7.50E+01
first,5.35E+01,8.30E+01
first,5.75E+01,7.10E+01
first,4.25E+01,7.25E+01
first,4.10E+01,8.00E+01
first,4.60E+01,8.20E+01
first,4.60E+01,6.05E+01
first,4.95E+01,7.60E+01
first,4.10E+01,7.60E+01
first,4.85E+01,7.25E+01
first,5.15E+01,8.25E+01
first,4.45E+01,7.05E+01
first,4.40E+01,6.60E+01
first,3.30E+01,7.65E+01
first,3.35E+01,7.85E+01
first,3.15E+01,7.20E+01
first,3.30E+01,8.15E+01
first,4.20E+01,5.95E+01
first,3.00E+01,6.40E+01
first,6.10E+01,4.50E+01
first,4.90E+01,7.90E+01
first,2.65E+01,6.45E+01
second,3.40E+01,7.15E+01
second,4.20E+01,8.35E+01
second,2.95E+01,7.45E+01
second,3.95E+01,7.00E+01
second,5.15E+01,6.60E+01
second,4.15E+01,7.15E+01
second,3.65E+01,5.30E+01
second,3.65E+01,5.35E+01
second,2.40E+01,6.05E+01
second,1.90E+01,5.75E+01
second,3.45E+01,6.00E+01
third,3.75E+01,6.45E+01
third,3.55E+01,5.10E+01
third,3.70E+01,5.05E+01
third,2.15E+01,4.20E+01
third,3.55E+01,5.85E+01
third,2.65E+01,6.85E+01
third,2.65E+01,5.55E+01
third,1.85E+01,6.70E+01
third,4.00E+01,6.70E+01
third,3.25E+01,7.15E+01
third,3.90E+01,7.15E+01
third,4.30E+01,5.55E+01
third,2.20E+01,5.40E+01
third,3.60E+01,6.25E+01
third,3.10E+01,5.55E+01
third,3.85E+01,7.60E+01
third,4.00E+01,7.50E+01
third,3.75E+01,6.30E+01
third,2.45E+01,5.80E+01
third,3.00E+01,6.70E+01
third,3.30E+01,5.60E+01
third,5.65E+01,6.10E+01
third,4.10E+01,5.70E+01
third,4.95E+01,6.30E+01
third,3.45E+01,7.25E+01
third,3.25E+01,6.90E+01
third,3.60E+01,7.30E+01
third,2.70E+01,5.35E+01
third,4.10E+01,6.35E+01
third,2.95E+01,5.25E+01
